t,s_z(t),v_z(t),p_z(t),L(t)
0.001,0,0,0,0
0.002,7.862522E-17,1.774992E-16,8.874962E-14,0
0.003,7.89593E-17,3.340815E-16,1.670408E-13,0
0.004,7.929338E-17,3.340815E-16,1.670408E-13,0
0.005,7.962746E-17,3.340815E-16,1.670408E-13,0
0.006000001,7.996154E-17,3.340815E-16,1.670408E-13,0
0.007000001,8.029563E-17,3.340815E-16,1.670408E-13,0
0.008,8.062971E-17,3.340815E-16,1.670408E-13,0
0.009000001,8.096379E-17,3.340815E-16,1.670408E-13,0
0.01,8.129787E-17,3.340815E-16,1.670408E-13,0
0.011,8.163195E-17,3.340815E-16,1.670408E-13,0
0.012,8.196603E-17,3.340815E-16,1.670408E-13,0
0.013,8.230012E-17,3.340815E-16,1.670408E-13,0
0.014,8.26342E-17,3.340815E-16,1.670408E-13,0
0.015,8.296828E-17,3.340815E-16,1.670408E-13,0
0.016,8.330236E-17,3.340815E-16,1.670408E-13,0
0.017,8.363644E-17,3.340815E-16,1.670408E-13,0
0.018,8.397053E-17,3.340815E-16,1.670408E-13,0
0.019,8.430461E-17,3.340815E-16,1.670408E-13,0
0.02,8.463869E-17,3.340815E-16,1.670408E-13,0
0.021,8.497277E-17,3.340815E-16,1.670408E-13,0
0.022,8.530685E-17,3.340815E-16,1.670408E-13,0
0.023,8.564093E-17,3.340815E-16,1.670408E-13,0
0.024,8.597502E-17,3.340815E-16,1.670408E-13,0
0.025,8.63091E-17,3.340815E-16,1.670408E-13,0
0.026,8.664318E-17,3.340815E-16,1.670408E-13,0
0.027,8.697726E-17,3.340815E-16,1.670408E-13,0
0.028,8.731134E-17,3.340815E-16,1.670408E-13,0
0.029,8.764542E-17,3.340815E-16,1.670408E-13,0
0.03,8.797951E-17,3.340815E-16,1.670408E-13,0
0.031,8.831359E-17,3.340815E-16,1.670408E-13,0
0.032,8.864767E-17,3.340815E-16,1.670408E-13,0
0.033,8.898175E-17,3.340815E-16,1.670408E-13,0
0.034,8.931583E-17,3.340815E-16,1.670408E-13,0
0.035,8.964991E-17,3.340815E-16,1.670408E-13,0
0.03599999,8.9984E-17,3.340815E-16,1.670408E-13,0
0.03699999,9.031808E-17,3.340815E-16,1.670408E-13,0
0.03799999,9.065216E-17,3.340815E-16,1.670408E-13,0
0.03899999,9.098624E-17,3.340815E-16,1.670408E-13,0
0.03999999,9.132032E-17,3.340815E-16,1.670408E-13,0
0.04099999,9.16544E-17,3.340815E-16,1.670408E-13,0
0.04199998,9.198849E-17,3.340815E-16,1.670408E-13,0
0.04299998,9.232257E-17,3.340815E-16,1.670408E-13,0
0.04399998,9.265665E-17,3.340815E-16,1.670408E-13,0
0.04499998,9.299073E-17,3.340815E-16,1.670408E-13,0
0.04599998,9.332481E-17,3.340815E-16,1.670408E-13,0
0.04699998,9.365889E-17,3.340815E-16,1.670408E-13,0
0.04799997,9.399298E-17,3.340815E-16,1.670408E-13,0
0.04899997,9.432706E-17,3.340815E-16,1.670408E-13,0
0.04999997,9.466114E-17,3.340815E-16,1.670408E-13,0
0.05099997,9.499522E-17,3.340815E-16,1.670408E-13,0
0.05199997,9.53293E-17,3.340815E-16,1.670408E-13,0
0.05299997,9.566338E-17,3.340815E-16,1.670408E-13,0
0.05399996,9.599747E-17,3.340815E-16,1.670408E-13,0
0.05499996,9.633155E-17,3.340815E-16,1.670408E-13,0
0.05599996,9.666563E-17,3.340815E-16,1.670408E-13,0
0.05699996,9.699971E-17,3.340815E-16,1.670408E-13,0
0.05799996,9.733379E-17,3.340815E-16,1.670408E-13,0
0.05899996,9.766788E-17,3.340815E-16,1.670408E-13,0
0.05999995,9.800196E-17,3.340815E-16,1.670408E-13,0
0.06099995,9.833604E-17,3.340815E-16,1.670408E-13,0
0.06199995,9.867012E-17,3.340815E-16,1.670408E-13,0
0.06299995,9.90042E-17,3.340815E-16,1.670408E-13,0
0.06399995,9.933828E-17,3.340815E-16,1.670408E-13,0
0.06499995,9.967237E-17,3.340815E-16,1.670408E-13,0
0.06599995,1.000064E-16,3.340815E-16,1.670408E-13,0
0.06699996,1.003405E-16,3.340815E-16,1.670408E-13,0
0.06799996,1.006746E-16,3.340815E-16,1.670408E-13,0
0.06899996,1.010087E-16,3.340815E-16,1.670408E-13,0
0.06999996,1.013428E-16,3.340815E-16,1.670408E-13,0
0.07099997,1.016769E-16,3.340815E-16,1.670408E-13,0
0.07199997,1.020109E-16,3.340815E-16,1.670408E-13,0
0.07299997,1.02345E-16,3.340815E-16,1.670408E-13,0
0.07399997,1.026791E-16,3.340815E-16,1.670408E-13,0
0.07499997,1.030132E-16,3.340815E-16,1.670408E-13,0
0.07599998,1.033473E-16,3.340815E-16,1.670408E-13,0
0.07699998,1.036813E-16,3.340815E-16,1.670408E-13,0
0.07799998,1.040154E-16,3.340815E-16,1.670408E-13,0
0.07899998,1.043495E-16,3.340815E-16,1.670408E-13,0
0.07999998,1.046836E-16,3.340815E-16,1.670408E-13,0
0.08099999,1.050177E-16,3.340815E-16,1.670408E-13,0
0.08199999,1.053518E-16,3.340815E-16,1.670408E-13,0
0.08299999,1.056858E-16,3.340815E-16,1.670408E-13,0
0.08399999,1.060199E-16,3.340815E-16,1.670408E-13,0
0.08499999,1.06354E-16,3.340815E-16,1.670408E-13,0
0.086,1.066881E-16,3.340815E-16,1.670408E-13,0
0.087,1.070222E-16,3.340815E-16,1.670408E-13,0
0.088,1.073562E-16,3.340815E-16,1.670408E-13,0
0.089,1.076903E-16,3.340815E-16,1.670408E-13,0
0.09,1.080244E-16,3.340815E-16,1.670408E-13,0
0.09100001,1.083585E-16,3.340815E-16,1.670408E-13,0
0.09200001,1.086926E-16,3.340815E-16,1.670408E-13,0
0.09300001,1.090267E-16,3.340815E-16,1.670408E-13,0
0.09400001,1.093607E-16,3.340815E-16,1.670408E-13,0
0.09500001,1.096948E-16,3.340815E-16,1.670408E-13,0
0.09600002,1.100289E-16,3.340815E-16,1.670408E-13,0
0.09700002,1.10363E-16,3.340815E-16,1.670408E-13,0
0.09800002,1.106971E-16,3.340815E-16,1.670408E-13,0
0.09900002,1.110311E-16,3.340815E-16,1.670408E-13,0
0.1,1.113652E-16,3.340815E-16,1.670408E-13,0
0.101,1.116993E-16,3.340815E-16,1.670408E-13,0
0.102,1.120334E-16,3.340815E-16,1.670408E-13,0
0.103,1.123674E-16,3.340815E-16,1.670408E-13,0
0.104,1.127015E-16,3.340815E-16,1.670408E-13,0
0.105,1.130356E-16,3.340815E-16,1.670408E-13,0
0.106,1.133697E-16,3.340815E-16,1.670408E-13,0
0.107,1.137037E-16,3.340815E-16,1.670408E-13,0
0.108,1.140378E-16,3.340815E-16,1.670408E-13,0
0.109,1.143719E-16,3.340815E-16,1.670408E-13,0
0.11,1.14706E-16,3.340815E-16,1.670408E-13,0
0.111,1.1504E-16,3.340815E-16,1.670408E-13,0
0.112,1.153741E-16,3.340815E-16,1.670408E-13,0
0.1130001,1.157082E-16,3.340815E-16,1.670408E-13,0
0.1140001,1.160423E-16,3.340815E-16,1.670408E-13,0
0.1150001,1.163763E-16,3.340815E-16,1.670408E-13,0
0.1160001,1.167104E-16,3.340815E-16,1.670408E-13,0
0.1170001,1.170445E-16,3.340815E-16,1.670408E-13,0
0.1180001,1.173786E-16,3.340815E-16,1.670408E-13,0
0.1190001,1.177126E-16,3.340815E-16,1.670408E-13,0
0.1200001,1.180467E-16,3.340815E-16,1.670408E-13,0
0.1210001,1.183808E-16,3.340815E-16,1.670408E-13,0
0.1220001,1.187149E-16,3.340815E-16,1.670408E-13,0
0.1230001,1.190489E-16,3.340815E-16,1.670408E-13,0
0.1240001,1.19383E-16,3.340815E-16,1.670408E-13,0
0.1250001,1.197171E-16,3.340815E-16,1.670408E-13,0
0.1260001,1.200512E-16,3.340815E-16,1.670408E-13,0
0.1270001,1.203852E-16,3.340815E-16,1.670408E-13,0
0.1280001,1.207193E-16,3.340815E-16,1.670408E-13,0
0.1290001,1.210534E-16,3.340815E-16,1.670408E-13,0
0.1300001,1.213875E-16,3.340815E-16,1.670408E-13,0
0.1310001,1.217215E-16,3.340815E-16,1.670408E-13,0
0.1320001,1.220556E-16,3.340815E-16,1.670408E-13,0
0.1330001,1.223897E-16,3.340815E-16,1.670408E-13,0
0.1340001,1.227238E-16,3.340815E-16,1.670408E-13,0
0.1350001,1.230578E-16,3.340815E-16,1.670408E-13,0
0.1360001,1.233919E-16,3.340815E-16,1.670408E-13,0
0.1370001,1.23726E-16,3.340815E-16,1.670408E-13,0
0.1380001,1.240601E-16,3.340815E-16,1.670408E-13,0
0.1390001,1.243941E-16,3.340815E-16,1.670408E-13,0
0.1400001,1.247282E-16,3.340815E-16,1.670408E-13,0
0.1410001,1.250623E-16,3.340815E-16,1.670408E-13,0
0.1420001,1.253964E-16,3.340815E-16,1.670408E-13,0
0.1430001,1.257304E-16,3.340815E-16,1.670408E-13,0
0.1440001,1.260645E-16,3.340815E-16,1.670408E-13,0
0.1450001,1.263986E-16,3.340815E-16,1.670408E-13,0
0.1460001,1.267327E-16,3.340815E-16,1.670408E-13,0
0.1470001,1.270667E-16,3.340815E-16,1.670408E-13,0
0.1480001,1.274008E-16,3.340815E-16,1.670408E-13,0
0.1490001,1.277349E-16,3.340815E-16,1.670408E-13,0
