t,s_z(t),v_z(t),p_z(t),L(t)
0.001,4,0,0,0
0.002,4,0,0,-1.063999E-11
0.003,4,0,0,5.870939E-12
0.004,4,0,0,5.870645E-12
0.005,4,0,0,5.870351E-12
0.006000001,4,0,0,5.870057E-12
0.007000001,4,0,0,5.869763E-12
0.008,4,0,0,5.869469E-12
0.009000001,4,0,0,5.869176E-12
0.01,4,0,0,5.868882E-12
0.011,4,0,0,5.868588E-12
0.012,4,0,0,5.868295E-12
0.013,4,0,0,5.868002E-12
0.014,4,0,0,5.867709E-12
0.015,4,0,0,5.867415E-12
0.016,4,0,0,5.867122E-12
0.017,4,0,0,5.866829E-12
0.018,4,0,0,5.866536E-12
0.019,4,0,0,5.866243E-12
0.02,4,0,0,5.86595E-12
0.021,4,0,0,5.865656E-12
0.022,4,0,0,5.865363E-12
0.023,4,0,0,5.86507E-12
0.024,4,0,0,5.864777E-12
0.025,4,0,0,5.864484E-12
0.026,4,0,0,5.86419E-12
0.027,4,0,0,5.863897E-12
0.028,4,0,0,5.863604E-12
0.029,4,0,0,5.863311E-12
0.03,4,0,0,5.863018E-12
0.031,4,0,0,5.862724E-12
0.032,4,0,0,5.862431E-12
0.033,4,0,0,5.862138E-12
0.034,4,0,0,5.861845E-12
0.035,4,0,0,5.861552E-12
0.03599999,4,0,0,5.861259E-12
0.03699999,4,0,0,5.860965E-12
0.03799999,4,0,0,5.860672E-12
0.03899999,4,0,0,5.860379E-12
0.03999999,4,0,0,5.860086E-12
0.04099999,4,0,0,5.859793E-12
0.04199998,4,0,0,5.8595E-12
0.04299998,4,0,0,5.859206E-12
0.04399998,4,0,0,5.858913E-12
0.04499998,4,0,0,5.85862E-12
0.04599998,4,0,0,5.858327E-12
0.04699998,4,0,0,5.858034E-12
0.04799997,4,0,0,5.857741E-12
0.04899997,4,0,0,5.857447E-12
0.04999997,4,0,0,5.857154E-12
0.05099997,4,0,0,5.856861E-12
0.05199997,4,0,0,5.856568E-12
0.05299997,4,0,0,5.856275E-12
0.05399996,4,0,0,5.855982E-12
0.05499996,4,0,0,5.85569E-12
0.05599996,4,0,0,5.855397E-12
0.05699996,4,0,0,5.855104E-12
0.05799996,4,0,0,5.854812E-12
0.05899996,4,0,0,5.854519E-12
0.05999995,4,0,0,5.854227E-12
0.06099995,4,0,0,5.853934E-12
0.06199995,4,0,0,5.853642E-12
0.06299995,4,0,0,5.853349E-12
0.06399995,4,0,0,5.853056E-12
0.06499995,4,0,0,5.852764E-12
0.06599995,4,0,0,5.852471E-12
0.06699996,4,0,0,5.852179E-12
0.06799996,4,0,0,5.851886E-12
0.06899996,4,0,0,5.851594E-12
0.06999996,4,0,0,5.851301E-12
0.07099997,4,0,0,5.851008E-12
0.07199997,4,0,0,5.850716E-12
0.07299997,4,0,0,5.850423E-12
0.07399997,4,0,0,5.850131E-12
0.07499997,4,0,0,5.849838E-12
0.07599998,4,0,0,5.849546E-12
0.07699998,4,0,0,5.849253E-12
0.07799998,4,0,0,5.848961E-12
0.07899998,4,0,0,5.848668E-12
0.07999998,4,0,0,5.848376E-12
0.08099999,4,0,0,5.848083E-12
0.08199999,4,0,0,5.847791E-12
0.08299999,4,0,0,5.847498E-12
0.08399999,4,0,0,5.847206E-12
0.08499999,4,0,0,5.846913E-12
0.086,4,0,0,5.84662E-12
0.087,4,0,0,5.846328E-12
0.088,4,0,0,5.846035E-12
0.089,4,0,0,5.845743E-12
0.09,4,0,0,5.84545E-12
0.09100001,4,0,0,5.845158E-12
0.09200001,4,0,0,5.844865E-12
0.09300001,4,0,0,5.844573E-12
0.09400001,4,0,0,5.84428E-12
0.09500001,4,0,0,5.843987E-12
0.09600002,4,0,0,5.843695E-12
0.09700002,4,0,0,5.843403E-12
0.09800002,4,0,0,5.843111E-12
0.09900002,4,0,0,5.842819E-12
0.1,4,0,0,5.842527E-12
0.101,4,0,0,5.842235E-12
0.102,4,0,0,5.841943E-12
0.103,4,0,0,5.841651E-12
0.104,4,0,0,5.84136E-12
0.105,4,0,0,5.841068E-12
0.106,4,0,0,5.840775E-12
0.107,4,0,0,5.840483E-12
0.108,4,0,0,5.840192E-12
0.109,4,0,0,5.8399E-12
0.11,4,0,0,5.839608E-12
0.111,4,0,0,5.839316E-12
0.112,4,0,0,5.839024E-12
0.1130001,4,0,0,5.838732E-12
0.1140001,4,0,0,5.83844E-12
0.1150001,4,0,0,5.838148E-12
0.1160001,4,0,0,5.837856E-12
0.1170001,4,0,0,5.837564E-12
0.1180001,4,0,0,5.837273E-12
0.1190001,4,0,0,5.836981E-12
0.1200001,4,0,0,5.836689E-12
0.1210001,4,0,0,5.836396E-12
0.1220001,4,0,0,5.836105E-12
0.1230001,4,0,0,5.835813E-12
0.1240001,4,0,0,5.835521E-12
0.1250001,4,0,0,5.835229E-12
0.1260001,4,0,0,5.834937E-12
0.1270001,4,0,0,5.834645E-12
0.1280001,4,0,0,5.834353E-12
0.1290001,4,0,0,5.834061E-12
0.1300001,4,0,0,5.833769E-12
0.1310001,4,0,0,5.833477E-12
0.1320001,4,0,0,5.833185E-12
0.1330001,4,0,0,5.832894E-12
0.1340001,4,0,0,5.832602E-12
0.1350001,4,0,0,5.83231E-12
0.1360001,4,0,0,5.832018E-12
0.1370001,4,0,0,5.831726E-12
0.1380001,4,0,0,5.831434E-12
0.1390001,4,0,0,5.831142E-12
0.1400001,4,0,0,5.830851E-12
0.1410001,4,0,0,5.83056E-12
0.1420001,4,0,0,5.830268E-12
0.1430001,4,0,0,5.829977E-12
0.1440001,4,0,0,5.829686E-12
0.1450001,4,0,0,5.829394E-12
0.1460001,4,0,0,5.829103E-12
0.1470001,4,0,0,5.828811E-12
0.1480001,4,0,0,5.82852E-12
0.1490001,4,0,0,5.828229E-12
0.1500001,4,0,0,5.827938E-12
0.1510001,4,0,0,5.827647E-12
0.1520001,4,0,0,5.827355E-12
0.1530001,4,0,0,5.827064E-12
0.1540001,4,0,0,5.826773E-12
0.1550001,4,0,0,5.826481E-12
0.1560001,4,0,0,5.82619E-12
0.1570001,4,0,0,5.825899E-12
0.1580001,4,0,0,5.825607E-12
0.1590001,4,0,0,5.825316E-12
0.1600001,4,0,0,5.825024E-12
0.1610001,4,0,0,5.824733E-12
0.1620001,4,0,0,5.824442E-12
0.1630002,4,0,0,5.824151E-12
0.1640002,4,0,0,5.82386E-12
0.1650002,4,0,0,5.823568E-12
0.1660002,4,0,0,5.823277E-12
0.1670002,4,0,0,5.822986E-12
0.1680002,4,0,0,5.822694E-12
0.1690002,4,0,0,5.822403E-12
0.1700002,4,0,0,5.822112E-12
0.1710002,4,0,0,5.82182E-12
0.1720002,4,0,0,5.821529E-12
0.1730002,4,0,0,5.821238E-12
0.1740002,4,0,0,5.820947E-12
0.1750002,4,0,0,5.820655E-12
0.1760002,4,0,0,5.820364E-12
0.1770002,4,0,0,5.820073E-12
0.1780002,4,0,0,5.819781E-12
0.1790002,4,0,0,5.81949E-12
0.1800002,4,0,0,5.819199E-12
0.1810002,4,0,0,5.818907E-12
0.1820002,4,0,0,5.818616E-12
0.1830002,4,0,0,5.818325E-12
0.1840002,4,0,0,5.818035E-12
0.1850002,4,0,0,5.817744E-12
0.1860002,4,0,0,5.817453E-12
0.1870002,4,0,0,5.817163E-12
0.1880002,4,0,0,5.816872E-12
0.1890002,4,0,0,5.816581E-12
0.1900002,4,0,0,5.816291E-12
0.1910002,4,0,0,5.816E-12
0.1920002,4,0,0,5.815709E-12
0.1930002,4,0,0,5.815418E-12
0.1940002,4,0,0,5.815128E-12
0.1950002,4,0,0,5.814837E-12
0.1960002,4,0,0,5.814547E-12
0.1970002,4,0,0,5.814256E-12
0.1980002,4,0,0,5.813965E-12
0.1990002,4,0,0,5.813675E-12
0.2000002,4,0,0,5.813384E-12
0.2010002,4,0,0,5.813093E-12
0.2020002,4,0,0,5.812802E-12
0.2030002,4,0,0,5.812512E-12
0.2040002,4,0,0,5.812221E-12
0.2050002,4,0,0,5.811931E-12
0.2060002,4,0,0,5.81164E-12
0.2070002,4,0,0,5.811349E-12
0.2080002,4,0,0,5.811059E-12
0.2090002,4,0,0,5.810768E-12
0.2100002,4,0,0,5.810477E-12
0.2110002,4,0,0,5.810187E-12
0.2120003,4,0,0,5.809896E-12
0.2130003,4,0,0,5.809605E-12
0.2140003,4,0,0,5.809314E-12
0.2150003,4,0,0,5.809024E-12
0.2160003,4,0,0,5.808733E-12
0.2170003,4,0,0,5.808443E-12
0.2180003,4,0,0,5.808152E-12
0.2190003,4,0,0,5.807861E-12
0.2200003,4,0,0,5.807571E-12
0.2210003,4,0,0,5.80728E-12
0.2220003,4,0,0,5.806989E-12
0.2230003,4,0,0,5.806698E-12
0.2240003,4,0,0,5.806408E-12
0.2250003,4,0,0,5.806117E-12
0.2260003,4,0,0,5.805827E-12
0.2270003,4,0,0,5.805537E-12
0.2280003,4,0,0,5.805247E-12
0.2290003,4,0,0,5.804957E-12
0.2300003,4,0,0,5.804667E-12
0.2310003,4,0,0,5.804377E-12
0.2320003,4,0,0,5.804087E-12
0.2330003,4,0,0,5.803797E-12
0.2340003,4,0,0,5.803507E-12
0.2350003,4,0,0,5.803217E-12
0.2360003,4,0,0,5.802927E-12
0.2370003,4,0,0,5.802637E-12
0.2380003,4,0,0,5.802346E-12
0.2390003,4,0,0,5.802056E-12
0.2400003,4,0,0,5.801767E-12
0.2410003,4,0,0,5.801476E-12
0.2420003,4,0,0,5.801186E-12
0.2430003,4,0,0,5.800896E-12
0.2440003,4,0,0,5.800606E-12
0.2450003,4,0,0,5.800316E-12
0.2460003,4,0,0,5.800026E-12
0.2470003,4,0,0,5.799736E-12
0.2480003,4,0,0,5.799446E-12
0.2490003,4,0,0,5.799156E-12
0.2500003,4,0,0,5.798866E-12
0.2510003,4,0,0,5.798576E-12
0.2520003,4,0,0,5.798286E-12
0.2530003,4,0,0,5.797996E-12
0.2540003,4,0,0,5.797706E-12
0.2550003,4,0,0,5.797415E-12
0.2560003,4,0,0,5.797126E-12
0.2570002,4,0,0,5.796836E-12
0.2580002,4,0,0,5.796546E-12
0.2590002,4,0,0,5.796255E-12
0.2600002,4,0,0,5.795965E-12
0.2610002,4,0,0,5.795676E-12
0.2620002,4,0,0,5.795385E-12
0.2630002,4,0,0,5.795095E-12
0.2640001,4,0,0,5.794805E-12
0.2650001,4,0,0,5.794515E-12
0.2660001,4,0,0,5.794225E-12
0.2670001,4,0,0,5.793935E-12
0.2680001,4,0,0,5.793645E-12
0.2690001,4,0,0,5.793356E-12
0.2700001,4,0,0,5.793066E-12
0.2710001,4,0,0,5.792777E-12
0.272,4,0,0,5.792488E-12
0.273,4,0,0,5.792198E-12
0.274,4,0,0,5.791909E-12
0.275,4,0,0,5.791619E-12
0.276,4,0,0,5.79133E-12
0.277,4,0,0,5.79104E-12
0.278,4,0,0,5.790751E-12
0.279,4,0,0,5.790461E-12
0.2799999,4,0,0,5.790172E-12
0.2809999,4,0,0,5.789882E-12
0.2819999,4,0,0,5.789593E-12
0.2829999,4,0,0,5.789304E-12
0.2839999,4,0,0,5.789014E-12
0.2849999,4,0,0,5.788725E-12
